epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.993,1.97542,2.8938,2.06148,0.61697,0.48153,0.5102,0.25353,1.83966,1.93077,2.04593,0.000136986,0.000136986,0.000136986
2,253.844,1.71218,1.67012,1.81343,0.60557,0.53035,0.56037,0.27022,1.81046,1.95018,2.02296,0.000275918,0.000275918,0.000275918
3,336.035,1.70221,1.61514,1.81661,0.56636,0.52471,0.54295,0.25425,1.87773,1.80938,2.17722,0.00041458,0.00041458,0.00041458
4,418.868,1.72498,1.61458,1.83877,0.16387,0.10184,0.05571,0.01586,3.05031,5.46918,3.24525,0.000552768,0.000552768,0.000552768
5,500.803,1.69043,1.52648,1.81838,0.51422,0.3902,0.37332,0.16121,2.092,2.34106,2.4168,0.00055383,0.00055383,0.00055383
6,582.861,1.63649,1.43059,1.77731,0.74793,0.57921,0.66022,0.35453,1.70112,1.59102,1.94405,0.000552612,0.000552612,0.000552612
7,665.221,1.59504,1.34362,1.74428,0.74753,0.61748,0.69467,0.36842,1.74691,1.29668,1.95374,0.000551125,0.000551125,0.000551125
8,747.535,1.55537,1.28148,1.71929,0.84593,0.68909,0.79407,0.44934,1.5952,1.08809,1.83155,0.000549372,0.000549372,0.000549372
9,829.866,1.51846,1.23514,1.69182,0.83213,0.62346,0.74046,0.42623,1.57988,1.23258,1.83084,0.000547353,0.000547353,0.000547353
10,911.7,1.48689,1.18508,1.66984,0.81851,0.70573,0.80001,0.47376,1.4929,1.0176,1.72037,0.000545072,0.000545072,0.000545072
11,993.98,1.4529,1.14126,1.64575,0.86472,0.67294,0.78422,0.42146,1.66395,1.10858,1.84187,0.00054253,0.00054253,0.00054253
12,1075.91,1.4091,1.08682,1.61075,0.85788,0.6909,0.80713,0.4891,1.45274,1.00275,1.71132,0.000539729,0.000539729,0.000539729
13,1157.96,1.37804,1.04878,1.59143,0.86491,0.70569,0.81512,0.49367,1.4713,1.01889,1.68473,0.000536673,0.000536673,0.000536673
14,1239.95,1.346,1.02296,1.57196,0.90563,0.74603,0.85584,0.5515,1.34062,0.84056,1.59735,0.000533364,0.000533364,0.000533364
15,1322.09,1.31636,0.98804,1.54126,0.9003,0.73426,0.84937,0.55753,1.30746,0.8433,1.55301,0.000529807,0.000529807,0.000529807
16,1404.22,1.29542,0.96691,1.53056,0.87187,0.74608,0.83984,0.54982,1.32392,0.88938,1.6147,0.000526003,0.000526003,0.000526003
17,1485.84,1.27805,0.94859,1.51727,0.91749,0.77196,0.88555,0.60228,1.21726,0.73301,1.48909,0.000521957,0.000521957,0.000521957
18,1567.85,1.25282,0.9332,1.49949,0.88807,0.721,0.83336,0.52597,1.38011,0.89221,1.62277,0.000517673,0.000517673,0.000517673
19,1649.19,1.22955,0.90843,1.48233,0.93615,0.74558,0.88109,0.60946,1.18283,0.73413,1.45626,0.000513156,0.000513156,0.000513156
20,1730.96,1.22836,0.90323,1.48027,0.9332,0.77519,0.89214,0.60478,1.18738,0.71607,1.49331,0.000508409,0.000508409,0.000508409
21,1812.44,1.20143,0.8849,1.46311,0.91614,0.79,0.89194,0.61183,1.17958,0.70668,1.47078,0.000503438,0.000503438,0.000503438
22,1894.34,1.17682,0.86411,1.44281,0.91984,0.79343,0.89401,0.61313,1.17153,0.69539,1.46622,0.000498246,0.000498246,0.000498246
23,1976.24,1.15581,0.84534,1.42282,0.91949,0.77637,0.88702,0.61847,1.14158,0.71784,1.44538,0.000492841,0.000492841,0.000492841
24,2058.41,1.15199,0.83653,1.42904,0.93053,0.81499,0.9107,0.64238,1.11232,0.63715,1.42227,0.000487226,0.000487226,0.000487226
25,2140.55,1.11706,0.79552,1.39653,0.9252,0.82428,0.91731,0.64431,1.11008,0.63102,1.41626,0.000481407,0.000481407,0.000481407
26,2222.44,1.11986,0.80829,1.39947,0.93247,0.79766,0.90566,0.64817,1.07377,0.63961,1.41199,0.00047539,0.00047539,0.00047539
27,2304.48,1.10452,0.78707,1.38674,0.92601,0.82825,0.91907,0.65711,1.06338,0.61259,1.396,0.000469181,0.000469181,0.000469181
28,2386.53,1.09485,0.78423,1.38673,0.92912,0.83316,0.91666,0.66112,1.05395,0.62261,1.37693,0.000462786,0.000462786,0.000462786
29,2468.5,1.07929,0.76786,1.3745,0.93638,0.82813,0.92279,0.66692,1.03862,0.59593,1.3673,0.000456212,0.000456212,0.000456212
30,2550.22,1.06355,0.74924,1.36458,0.93342,0.84538,0.93038,0.67888,1.02956,0.58382,1.35981,0.000449464,0.000449464,0.000449464
31,2632.13,1.05447,0.74081,1.35451,0.93256,0.83878,0.92271,0.67211,1.01401,0.59359,1.36134,0.00044255,0.00044255,0.00044255
32,2713.6,1.04008,0.73017,1.33902,0.91847,0.85262,0.92904,0.68414,1.00215,0.58216,1.34153,0.000435477,0.000435477,0.000435477
33,2795.43,1.02223,0.70831,1.32572,0.94258,0.85304,0.93214,0.68963,0.99449,0.55658,1.33507,0.00042825,0.00042825,0.00042825
34,2877.27,1.02803,0.71997,1.33229,0.93537,0.8548,0.93495,0.68735,1.01013,0.56238,1.3382,0.000420878,0.000420878,0.000420878
35,2958.68,1.00721,0.69696,1.31942,0.93225,0.86466,0.93824,0.70394,0.95893,0.53187,1.31906,0.000413368,0.000413368,0.000413368
36,3040.67,0.99758,0.67784,1.30954,0.92963,0.87235,0.93972,0.70055,0.97446,0.54019,1.32877,0.000405727,0.000405727,0.000405727
37,3121.89,0.98476,0.66985,1.30117,0.93654,0.87062,0.93921,0.7052,0.95033,0.53514,1.31007,0.000397963,0.000397963,0.000397963
38,3203.82,0.96969,0.65467,1.2865,0.94314,0.86578,0.94398,0.70959,0.94748,0.52553,1.3087,0.000390083,0.000390083,0.000390083
39,3285.47,0.97049,0.65918,1.28309,0.92825,0.87743,0.94335,0.70248,0.97544,0.51992,1.32123,0.000382095,0.000382095,0.000382095
