class,threshold
Banana,0.1607999950647354
Banana Flower,0.7376000285148621
Beans,0.31779998540878296
Beetroot,0.4311000108718872
Bell Pepper,0.8328999876976013
Cabbage-Cauliflower,0.9434000253677368
Carrot,0.9483000040054321
Chilli,0.9386000037193298
Coconut,0.9262999892234802
Cucumber,0.22360000014305115
Dasakai,0.14589999616146088
Eggplant,0.8461999893188477
Garlic,0.5644000172615051
Ginger,0.5116000175476074
Guava-Chayote,0.9879000186920166
Karela,0.9934999942779541
LEMON,0.9305999875068665
Leafy Greens,0.8888999819755554
Mums,0.8296999931335449
Okra,0.7633000016212463
Onion,0.3986000120639801
Potato,0.7598999738693237
Prepared Foods,0.06040000170469284
Pumpkin,0.9980999827384949
Radish,0.5309000015258789
Snake Guard,0.8794999718666077
Squah,0.7993000149726868
Sweetpotato,0.7397000193595886
Tindora,0.6783999800682068
Tomato,0.9036999940872192
Turai,0.2870999872684479
papaya,0.9186000227928162
